Rk,Player,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Player-additional
171,Danny Jansen,1.6,86,301.0,268.0,38,61.0,15,0,17.0,53.0,0,0,23,62,.228,0.312,0.474,0.786,114,.337,114,127,janseda01
172,Will Benson*,1.6,108,329.0,287.0,51,79.0,15,8,11.0,31.0,19,3,40,103,.275,0.365,0.498,0.863,128,.383,132,143,bensowi01
173,Zach Neto,1.6,84,329.0,289.0,38,65.0,17,0,9.0,34.0,5,1,20,77,.225,0.308,0.377,0.685,86,.313,90,109,netoza01
174,Orlando Arcia,1.6,139,533.0,488.0,66,129.0,25,0,17.0,65.0,1,0,39,102,.264,0.321,0.42,0.741,99,.325,96,205,arciaor01
175,Adam Duvall,1.6,92,353.0,320.0,45,79.0,24,2,21.0,58.0,4,0,22,110,.247,0.303,0.531,0.834,119,.349,114,170,duvalad01
176,Brice Turang*,1.6,137,448.0,404.0,46,88.0,9,3,6.0,34.0,26,4,38,94,.218,0.285,0.3,0.585,61,.277,61,121,turanbr02
177,Evan Carter*,1.6,23,75.0,62.0,15,19.0,4,1,5.0,12.0,3,0,12,24,.306,0.413,0.645,1.058,187,.441,177,40,carteev01
178,Jake Meyers,1.6,112,341.0,309.0,42,70.0,16,1,10.0,33.0,5,2,26,88,.227,0.296,0.382,0.678,86,.302,87,118,meyerja02
179,Tommy Pham,1.5,129,481.0,426.0,55,109.0,27,3,16.0,68.0,22,3,47,106,.256,0.328,0.446,0.774,111,.342,109,190,phamth01
180,Bo Naylor*,1.5,67,230.0,198.0,33,47.0,13,0,11.0,32.0,5,0,30,53,.237,0.339,0.47,0.809,121,.350,122,93,naylobo01
181,Nick Castellanos,1.5,157,671.0,626.0,79,170.0,37,2,29.0,106.0,11,2,36,185,.272,0.311,0.476,0.788,112,.342,112,298,casteni01
182,Andrew McCutchen,1.5,112,473.0,390.0,55,100.0,19,0,12.0,43.0,11,3,75,100,.256,0.378,0.397,0.776,112,.348,115,155,mccutan01
183,Matt Vierling,1.5,134,530.0,479.0,63,125.0,21,5,10.0,44.0,6,6,44,112,.261,0.329,0.388,0.717,98,.316,98,186,vierlma01
184,Chris Taylor,1.4,117,384.0,338.0,51,80.0,15,1,15.0,56.0,16,3,41,125,.237,0.326,0.42,0.746,102,.333,100,142,tayloch03
185,Travis Jankowski*,1.4,107,287.0,247.0,34,65.0,12,1,1.0,30.0,19,1,35,42,.263,0.357,0.332,0.689,93,.332,96,82,jankotr01
186,Carlos Correa,1.4,135,580.0,514.0,60,118.0,29,2,18.0,65.0,0,0,59,131,.230,0.312,0.399,0.711,94,.312,94,205,correca01
187,Elias Díaz,1.4,141,526.0,486.0,48,130.0,25,1,14.0,72.0,1,0,34,118,.267,0.316,0.409,0.725,87,.323,86,199,diazel01
188,Jonathan India,1.4,119,529.0,454.0,78,111.0,23,0,17.0,61.0,14,2,52,109,.244,0.338,0.407,0.746,98,.337,103,185,indiajo01
189,Masataka Yoshida*,1.4,140,580.0,537.0,71,155.0,33,3,15.0,72.0,8,0,34,81,.289,0.338,0.445,0.783,109,.348,112,239,yoshima02
190,Charlie Blackmon*,1.3,96,413.0,359.0,57,100.0,24,5,8.0,40.0,4,1,39,55,.279,0.363,0.44,0.803,109,.355,109,158,blackch02
191,Andruw Monasterio,1.3,92,315.0,282.0,38,73.0,14,1,3.0,27.0,7,2,28,66,.259,0.33,0.348,0.678,86,.310,90,98,monasan01
192,Keibert Ruiz#,1.3,136,562.0,523.0,55,136.0,24,0,18.0,67.0,1,1,31,58,.260,0.308,0.409,0.717,98,.314,97,214,ruizke01
193,DJ LeMahieu,1.3,136,562.0,497.0,55,121.0,22,3,15.0,44.0,2,2,60,125,.243,0.327,0.39,0.718,96,.315,96,194,lemahdj01
194,Garrett Hampson,1.3,98,252.0,221.0,30,61.0,12,1,3.0,23.0,5,0,23,67,.276,0.349,0.38,0.729,95,.342,108,84,hampsga01
195,Miguel Rojas,1.3,124,423.0,385.0,49,91.0,16,1,5.0,31.0,8,3,26,48,.236,0.29,0.322,0.612,67,.284,68,124,rojasmi02
196,Blake Perkins#,1.2,67,168.0,143.0,28,31.0,7,0,4.0,20.0,5,2,23,46,.217,0.325,0.35,0.675,85,.303,85,50,perkibl01
197,Jordan Westburg,1.2,68,228.0,208.0,26,54.0,17,2,3.0,23.0,4,1,16,56,.260,0.311,0.404,0.715,100,.316,101,84,westbjo01
198,Ryan O'Hearn*,1.2,112,368.0,346.0,48,100.0,22,1,14.0,60.0,5,1,15,82,.289,0.322,0.48,0.801,122,.343,120,166,ohearry01
199,Randal Grichuk,1.2,118,471.0,434.0,65,116.0,31,2,16.0,44.0,2,2,29,96,.267,0.321,0.459,0.779,104,.336,103,199,grichra01
200,Nick Madrigal,1.2,92,294.0,270.0,34,71.0,16,1,2.0,28.0,10,2,10,24,.263,0.311,0.352,0.663,83,.298,74,95,madrini01
201,Tom Murphy,1.2,47,159.0,145.0,19,42.0,12,0,8.0,17.0,0,0,10,44,.290,0.335,0.538,0.873,144,.365,138,78,murphto04
202,Dairon Blanco,1.2,69,138.0,124.0,19,32.0,7,4,3.0,18.0,24,5,10,33,.258,0.324,0.452,0.775,109,.370,120,56,blancda02
203,Jazz Chisholm Jr.*,1.2,97,383.0,352.0,50,88.0,12,2,19.0,51.0,22,3,26,118,.250,0.304,0.457,0.761,99,.342,104,161,chishja01
204,Nelson Velázquez,1.2,53,179.0,162.0,35,38.0,6,0,17.0,34.0,0,0,14,51,.235,0.302,0.586,0.888,135,.381,142,95,velazne01
205,Christopher Morel,1.2,107,429.0,388.0,62,96.0,17,3,26.0,70.0,6,2,36,133,.247,0.313,0.508,0.821,122,.351,115,197,morelch01
206,Sal Frelick*,1.2,57,223.0,191.0,29,47.0,9,1,3.0,24.0,7,0,28,37,.246,0.341,0.351,0.692,90,.315,89,67,frelisa01
207,Luis Campusano,1.1,49,174.0,163.0,27,52.0,7,0,7.0,30.0,0,0,7,21,.319,0.356,0.491,0.847,131,.367,136,80,campulu01
208,Myles Straw,1.1,147,518.0,462.0,52,110.0,18,3,1.0,29.0,20,6,42,97,.238,0.301,0.297,0.597,67,.275,69,137,strawmy01
209,Zach McKinstry*,1.1,148,518.0,464.0,60,107.0,21,4,9.0,35.0,16,6,44,113,.231,0.302,0.351,0.654,81,.296,81,163,mckinza01
210,Eddie Rosario*,1.1,142,516.0,478.0,64,122.0,24,3,21.0,74.0,3,4,34,122,.255,0.305,0.45,0.755,101,.324,98,215,rosared01
211,Alek Thomas*,1.1,125,402.0,374.0,51,86.0,17,5,9.0,39.0,9,1,19,86,.230,0.273,0.374,0.647,74,.291,74,140,thomaal01
212,Shea Langeliers,1.1,135,490.0,448.0,52,92.0,19,4,22.0,63.0,3,2,34,143,.205,0.268,0.413,0.681,89,.293,91,185,langesh01
213,Alex Call,1.1,128,439.0,375.0,43,75.0,14,1,8.0,38.0,9,8,53,78,.200,0.307,0.307,0.614,72,.282,77,115,callal02
214,Maikel Garcia,1.1,123,515.0,464.0,59,126.0,20,4,4.0,50.0,23,7,38,115,.272,0.323,0.358,0.681,86,.305,87,166,garcima01
215,Riley Adams,1.0,44,158.0,143.0,8,39.0,13,2,4.0,21.0,0,0,11,45,.273,0.331,0.476,0.807,121,.345,118,68,adamsri03
216,Andrew Knizner,1.0,70,241.0,224.0,30,54.0,11,0,10.0,31.0,2,0,12,62,.241,0.288,0.424,0.712,91,.309,88,95,kniznan01
217,Cade Marlowe*,1.0,34,100.0,88.0,14,21.0,3,2,3.0,11.0,4,2,12,33,.239,0.33,0.42,0.75,113,.325,110,37,marloca01
218,Jake Cronenworth*,1.0,127,522.0,458.0,54,105.0,24,7,10.0,48.0,6,1,46,97,.229,0.312,0.378,0.689,89,.306,92,173,croneja01
219,Francisco Alvarez,1.0,123,423.0,382.0,51,80.0,12,0,25.0,63.0,2,0,34,110,.209,0.284,0.437,0.721,96,.311,92,167,alvarfr01
220,Ernie Clement,1.0,29,52.0,50.0,7,19.0,1,1,1.0,10.0,1,0,1,4,.380,0.385,0.5,0.885,143,.381,142,25,clemeer01
221,Joey Wiemer,0.9,132,410.0,367.0,48,75.0,19,0,13.0,42.0,11,4,36,116,.204,0.283,0.362,0.645,75,.293,78,133,wiemejo01
222,Parker Meadows*,0.9,37,145.0,125.0,19,29.0,4,2,3.0,13.0,8,1,17,37,.232,0.331,0.368,0.699,94,.329,99,46,meadopa01
223,Andrew Vaughn,0.9,152,615.0,566.0,67,146.0,30,2,21.0,80.0,0,0,36,129,.258,0.314,0.429,0.743,102,.325,101,243,vaughan01
224,J.D. Davis,0.9,144,546.0,480.0,61,119.0,23,1,18.0,69.0,1,0,52,152,.248,0.325,0.413,0.738,104,.326,105,198,davisjd01
225,Ezequiel Durán,0.9,122,439.0,406.0,55,112.0,22,2,14.0,46.0,8,4,23,120,.276,0.324,0.443,0.768,110,.332,106,180,duranez01
226,Dominic Smith*,0.9,153,586.0,527.0,57,134.0,21,1,12.0,46.0,1,1,47,91,.254,0.326,0.366,0.692,93,.310,94,193,smithdo02
227,Jake Fraley*,0.9,111,380.0,336.0,41,86.0,18,0,15.0,65.0,21,5,37,71,.256,0.339,0.443,0.783,107,.349,110,149,fraleja01
228,Luke Maile,0.9,74,199.0,179.0,17,42.0,10,0,6.0,25.0,2,1,14,49,.235,0.308,0.391,0.699,85,.320,93,70,mailelu01
229,Brenton Doyle,0.9,126,431.0,399.0,48,81.0,16,5,10.0,48.0,22,5,22,151,.203,0.25,0.343,0.593,53,.269,44,137,doylebr02
230,Josh Smith*,0.9,90,232.0,195.0,29,36.0,8,1,6.0,15.0,1,0,25,55,.185,0.304,0.328,0.633,76,.293,76,64,smithjo11
231,Elly De La Cruz#,0.8,98,427.0,388.0,67,91.0,15,7,13.0,44.0,35,8,35,144,.235,0.3,0.41,0.71,87,.319,86,159,delacel01
232,Noelvi Marté,0.8,35,123.0,114.0,15,36.0,7,0,3.0,15.0,6,2,8,25,.316,0.366,0.456,0.822,118,.355,116,52,marteno01
233,Jorge Mateo,0.8,116,350.0,318.0,58,69.0,14,2,7.0,34.0,32,5,22,82,.217,0.267,0.34,0.607,70,.282,67,108,mateojo01
234,Patrick Bailey#,0.8,97,353.0,326.0,29,76.0,18,1,7.0,48.0,1,0,21,100,.233,0.285,0.359,0.644,78,.284,74,117,bailepa01
235,Trevor Story,0.8,43,168.0,158.0,12,32.0,9,0,3.0,14.0,10,3,9,55,.203,0.25,0.316,0.566,52,.272,58,50,storytr01
236,Gio Urshela,0.8,62,228.0,214.0,22,64.0,8,1,2.0,24.0,3,2,10,36,.299,0.329,0.374,0.703,92,.310,91,80,urshegi01
237,Wilyer Abreu*,0.8,28,85.0,76.0,10,24.0,6,0,2.0,14.0,3,1,9,23,.316,0.388,0.474,0.862,132,.373,131,36,abreuwi02
238,Spencer Torkelson,0.8,159,684.0,606.0,88,141.0,34,1,31.0,94.0,3,0,67,171,.233,0.313,0.446,0.758,107,.332,106,270,torkesp01
239,Cavan Biggio*,0.8,111,338.0,289.0,54,68.0,12,0,9.0,40.0,5,2,40,88,.235,0.34,0.37,0.71,97,.317,99,107,biggica01
240,Byron Buxton,0.8,85,347.0,304.0,49,63.0,17,1,17.0,42.0,9,0,35,109,.207,0.294,0.438,0.731,97,.321,96,133,buxtoby01
241,Mike Ford*,0.8,83,251.0,219.0,32,50.0,6,0,16.0,34.0,0,0,24,81,.228,0.323,0.475,0.798,124,.341,121,104,fordmi01
242,Jake Rogers,0.7,107,365.0,331.0,47,73.0,11,0,21.0,49.0,1,1,28,118,.221,0.286,0.444,0.73,98,.310,92,147,rogerja03
243,Ildemaro Vargas#,0.7,86,286.0,262.0,32,66.0,13,2,4.0,31.0,1,1,19,20,.252,0.304,0.363,0.666,85,.297,84,95,vargail01
244,Dominic Fletcher*,0.7,28,102.0,93.0,10,28.0,5,1,2.0,14.0,0,2,7,22,.301,0.35,0.441,0.791,114,.328,110,41,fletcdo01
245,Christian Bethancourt,0.7,104,332.0,315.0,49,71.0,16,0,11.0,33.0,1,0,13,91,.225,0.254,0.381,0.635,73,.281,74,120,bethach01
246,Connor Joe,0.7,133,472.0,413.0,63,102.0,31,4,11.0,42.0,3,5,50,110,.247,0.339,0.421,0.76,105,.332,108,174,joeco01
247,Luis García Jr.*,0.7,122,482.0,447.0,61,119.0,18,4,9.0,50.0,9,4,27,60,.266,0.304,0.385,0.688,90,.302,88,172,garcilu04
248,Austin Slater,0.7,89,207.0,185.0,24,50.0,9,0,5.0,20.0,2,2,20,58,.270,0.348,0.4,0.748,108,.339,116,74,slateau01
249,Drew Waters#,0.7,98,337.0,302.0,40,69.0,11,5,8.0,32.0,16,5,27,107,.228,0.3,0.377,0.677,84,.302,84,114,waterdr01
250,Victor Caratini#,0.7,62,226.0,201.0,23,52.0,4,0,7.0,25.0,1,1,19,45,.259,0.327,0.383,0.711,94,.320,99,77,caratvi01
251,Cristian Pache,0.7,48,95.0,84.0,12,20.0,7,1,2.0,11.0,2,3,10,27,.238,0.319,0.417,0.736,100,.318,105,35,pachecr01
252,Whit Merrifield,0.7,145,592.0,547.0,66,149.0,27,0,11.0,67.0,26,10,36,101,.272,0.318,0.382,0.7,93,.311,94,209,merriwh01
253,Edmundo Sosa,0.7,104,300.0,279.0,34,70.0,15,2,10.0,30.0,4,2,8,74,.251,0.293,0.427,0.719,94,.310,91,119,sosaed01
254,Garrett Mitchell*,0.7,19,73.0,65.0,10,16.0,2,1,3.0,7.0,1,1,7,26,.246,0.315,0.446,0.761,105,.334,111,29,mitchga01
255,Michael Conforto*,0.7,125,470.0,406.0,58,97.0,14,0,15.0,58.0,4,0,53,106,.239,0.334,0.384,0.718,100,.317,96,156,confomi01
256,Tyler Stephenson,0.7,142,517.0,465.0,59,113.0,20,2,13.0,56.0,0,1,47,135,.243,0.317,0.378,0.696,85,.318,92,176,stephty01
257,Ty France,0.7,158,665.0,587.0,79,147.0,32,0,12.0,58.0,1,0,43,117,.250,0.337,0.366,0.703,101,.318,104,215,francty01
258,Yoán Moncada#,0.7,92,357.0,334.0,39,87.0,20,1,11.0,40.0,1,0,20,107,.260,0.305,0.425,0.73,99,.320,97,142,moncayo01
259,Kyle Schwarber*,0.6,160,720.0,585.0,108,115.0,19,1,47.0,104.0,0,2,126,215,.197,0.343,0.474,0.817,121,.349,120,277,schwaky01
260,David Peralta*,0.6,133,422.0,394.0,47,102.0,25,1,7.0,55.0,4,1,20,72,.259,0.294,0.381,0.675,82,.302,80,150,peralda01
261,Manuel Margot,0.6,99,336.0,311.0,39,82.0,21,1,4.0,38.0,9,3,18,55,.264,0.31,0.376,0.686,90,.303,89,117,margoma01
262,Christian Encarnacion-Strand,0.6,63,241.0,222.0,29,60.0,7,0,13.0,37.0,2,0,14,69,.270,0.328,0.477,0.805,112,.353,115,106,encarch01
263,Akil Baddoo*,0.6,112,357.0,312.0,40,68.0,13,1,11.0,34.0,14,3,42,89,.218,0.31,0.372,0.682,88,.302,82,116,baddoak01
264,Logan O'Hoppe,0.6,51,199.0,182.0,23,43.0,6,0,14.0,29.0,0,1,14,48,.236,0.296,0.5,0.796,112,.331,107,91,ohopplo01
265,Joc Pederson*,0.6,121,425.0,358.0,59,84.0,14,3,15.0,51.0,0,0,57,89,.235,0.348,0.416,0.764,112,.335,111,149,pederjo01
266,Sean Bouchard,0.6,21,43.0,38.0,11,12.0,2,0,4.0,7.0,0,1,4,14,.316,0.372,0.684,1.056,167,.458,191,26,bouchse01
267,Nick Loftin,0.6,19,68.0,62.0,10,20.0,5,1,0.0,10.0,2,0,4,12,.323,0.368,0.435,0.803,119,.363,126,27,loftini01
268,Jacob Young,0.6,33,121.0,107.0,9,27.0,7,1,0.0,12.0,13,0,10,22,.252,0.322,0.336,0.658,84,.316,79,36,youngja03
269,Javier Báez,0.6,136,547.0,510.0,58,113.0,18,4,9.0,59.0,12,0,24,125,.222,0.267,0.325,0.593,63,.275,63,166,baezja01
270,Harrison Bader,0.6,98,344.0,319.0,44,74.0,12,2,7.0,40.0,20,3,17,59,.232,0.274,0.348,0.622,69,.278,61,111,baderha01
271,Elvis Andrus,0.6,112,406.0,374.0,39,94.0,20,1,6.0,44.0,12,4,25,71,.251,0.304,0.358,0.662,82,.294,78,134,andruel01
272,Curtis Mead,0.5,24,92.0,83.0,12,21.0,3,1,1.0,5.0,0,0,7,21,.253,0.326,0.349,0.675,89,.299,88,29,meadcu01
273,Salvador Perez,0.5,140,580.0,538.0,59,137.0,21,0,23.0,80.0,0,0,19,135,.255,0.292,0.422,0.714,92,.303,88,227,perezsa02
274,Joey Gallo*,0.5,111,332.0,282.0,39,50.0,9,1,21.0,40.0,1,1,48,142,.177,0.301,0.44,0.741,100,.320,100,124,gallojo01
275,James McCann,0.5,69,226.0,207.0,25,46.0,14,0,6.0,26.0,3,1,9,57,.222,0.269,0.377,0.646,79,.287,80,78,mccanja02
276,Carlos Pérez,0.5,66,189.0,168.0,17,38.0,4,0,6.0,20.0,0,0,13,40,.226,0.293,0.357,0.65,83,.290,88,60,perezca02
277,Brian Anderson,0.5,96,361.0,318.0,38,72.0,12,3,9.0,40.0,1,3,36,108,.226,0.31,0.368,0.678,85,.300,86,117,anderbr06
278,Zack Short,0.5,110,253.0,221.0,17,45.0,9,0,7.0,33.0,5,0,28,66,.204,0.292,0.339,0.631,75,.284,70,75,shortza01
279,Will Brennan*,0.5,138,455.0,432.0,41,115.0,24,0,5.0,41.0,13,5,16,57,.266,0.299,0.356,0.655,81,.292,83,154,brennwi02
280,Josh Rojas*,0.5,105,350.0,314.0,47,77.0,17,0,4.0,40.0,12,0,27,81,.245,0.303,0.338,0.641,78,.296,77,106,rojasjo01
281,Ryan McKenna,0.5,88,139.0,122.0,23,31.0,7,0,2.0,18.0,5,0,9,40,.254,0.316,0.361,0.677,91,.309,90,44,mckenry01
282,Joey Meneses,0.5,154,657.0,611.0,71,168.0,36,1,13.0,89.0,0,0,38,130,.275,0.321,0.401,0.722,100,.322,101,245,menesjo01
283,Miles Mastrobuoni*,0.5,60,149.0,133.0,24,32.0,5,0,1.0,5.0,13,1,13,32,.241,0.308,0.301,0.609,70,.291,60,40,mastrmi01
284,Seth Brown*,0.5,112,378.0,343.0,33,76.0,19,1,14.0,52.0,3,1,30,101,.222,0.286,0.405,0.692,93,.300,94,139,brownse01
285,Jose Trevino,0.5,55,168.0,157.0,15,33.0,4,0,4.0,15.0,0,0,8,22,.210,0.257,0.312,0.57,56,.272,64,49,trevijo01
286,Dylan Carlson#,0.5,76,255.0,219.0,27,48.0,8,1,5.0,27.0,3,0,26,49,.219,0.318,0.333,0.651,78,.300,81,73,carlsdy01
287,Stuart Fairchild,0.5,97,255.0,219.0,34,50.0,16,2,5.0,28.0,10,3,25,69,.228,0.321,0.388,0.71,89,.318,90,85,faircst01
288,Michael Chavis,0.5,48,96.0,91.0,16,22.0,3,0,2.0,5.0,1,0,5,33,.242,0.281,0.341,0.622,72,.274,66,31,chavimi01
289,Tyrone Taylor,0.5,81,243.0,231.0,36,54.0,17,1,10.0,35.0,9,0,8,55,.234,0.267,0.446,0.713,91,.313,87,103,tayloty01
290,Dylan Moore,0.5,67,165.0,145.0,18,30.0,9,1,7.0,19.0,7,3,16,56,.207,0.303,0.428,0.731,106,.321,106,62,mooredy01
291,Richie Palacios*,0.5,32,102.0,93.0,9,24.0,6,0,6.0,16.0,2,0,6,11,.258,0.307,0.516,0.823,119,.354,119,48,palacri01
292,Santiago Espinal,0.5,93,254.0,230.0,30,57.0,14,0,2.0,25.0,2,1,18,36,.248,0.31,0.335,0.644,79,.291,81,77,espinsa01
293,Jake McCarthy*,0.5,99,312.0,276.0,37,67.0,7,5,2.0,16.0,26,4,26,62,.243,0.318,0.326,0.644,77,.305,77,90,mccarja02
294,Anthony Rizzo*,0.5,99,421.0,373.0,45,91.0,14,0,12.0,41.0,0,3,35,97,.244,0.328,0.378,0.706,94,.309,94,141,rizzoan01
295,Evan Longoria,0.5,74,237.0,211.0,25,47.0,9,0,11.0,28.0,0,0,23,73,.223,0.295,0.422,0.717,93,.315,93,89,longoev01
296,Amed Rosario,0.4,142,545.0,510.0,70,134.0,25,8,6.0,58.0,15,2,29,99,.263,0.305,0.378,0.683,87,.304,87,193,rosaram01
297,Alec Bohm,0.4,145,611.0,558.0,74,153.0,31,0,20.0,97.0,4,1,42,94,.274,0.327,0.437,0.765,107,.333,107,244,bohmal01
298,Aaron Hicks#,0.4,93,312.0,269.0,44,68.0,9,1,8.0,36.0,6,0,42,69,.253,0.353,0.383,0.735,106,.328,106,103,hicksaa01
299,Tim Locastro,0.4,43,67.0,56.0,13,13.0,3,0,2.0,3.0,6,0,3,22,.232,0.338,0.393,0.731,102,.362,115,22,locasti01
300,Eguy Rosario,0.4,11,37.0,36.0,6,9.0,1,1,2.0,6.0,0,0,1,12,.250,0.27,0.5,0.77,106,.342,118,18,rosareg01
301,Alex Kirilloff*,0.4,88,319.0,281.0,35,76.0,14,1,11.0,41.0,1,0,28,80,.270,0.348,0.445,0.793,116,.343,115,125,kirilal01
302,Owen Miller,0.4,90,314.0,291.0,29,76.0,17,0,5.0,27.0,13,2,17,61,.261,0.303,0.371,0.674,83,.300,80,108,milleow01
303,Rob Refsnyder,0.4,89,243.0,202.0,31,50.0,9,1,1.0,28.0,7,2,33,47,.248,0.365,0.317,0.682,87,.327,98,64,refsnro01
304,Jake Marisnick,0.4,46,83.0,76.0,10,18.0,3,2,2.0,10.0,2,3,3,21,.237,0.28,0.408,0.688,87,.293,88,31,marisja01
305,Pablo Reyes,0.4,64,185.0,167.0,27,48.0,9,0,2.0,20.0,7,2,14,21,.287,0.339,0.377,0.716,94,.329,99,63,reyespa01
306,Matthew Batten,0.4,43,139.0,120.0,19,31.0,6,0,2.0,11.0,2,2,17,30,.258,0.355,0.358,0.713,98,.316,103,43,battema01
307,Josh Bell#,0.4,150,617.0,547.0,52,135.0,28,0,22.0,74.0,0,1,63,134,.247,0.325,0.419,0.744,101,.323,103,229,belljo02
308,Matt Thaiss*,0.4,95,307.0,262.0,32,56.0,6,0,9.0,31.0,2,0,36,83,.214,0.319,0.34,0.659,81,.302,83,89,thaisma01
309,René Pinto,0.4,38,105.0,103.0,10,26.0,3,0,6.0,16.0,0,0,2,34,.252,0.267,0.456,0.723,96,.313,98,47,pintore02
310,Osleivis Basabe,0.4,31,94.0,87.0,15,19.0,5,0,1.0,12.0,0,1,6,25,.218,0.277,0.31,0.587,63,.263,66,27,basabos01
311,Conner Capel*,0.4,32,86.0,73.0,6,19.0,5,0,0.0,3.0,5,3,12,25,.260,0.372,0.329,0.701,102,.316,110,24,capelco01
312,DJ Stewart*,0.3,58,185.0,160.0,21,39.0,9,0,11.0,26.0,1,1,15,56,.244,0.333,0.506,0.84,129,.356,126,81,stewadj01
313,Alfonso Rivas III*,0.3,48,123.0,109.0,8,25.0,10,1,3.0,15.0,1,0,9,36,.229,0.303,0.422,0.725,95,.313,92,46,rivasal01
314,Matt Duffy,0.3,78,209.0,191.0,17,48.0,8,0,2.0,16.0,1,0,12,39,.251,0.306,0.325,0.631,73,.298,83,62,duffyma01
315,Edward Olivares,0.3,107,385.0,354.0,47,93.0,23,4,12.0,36.0,11,5,22,64,.263,0.317,0.452,0.769,107,.340,114,160,olivaed02
316,Iván Herrera,0.3,13,44.0,37.0,6,11.0,2,0,0.0,4.0,0,0,5,11,.297,0.409,0.351,0.76,111,.348,117,13,herreiv01
317,Eloy Jiménez,0.3,120,489.0,456.0,50,124.0,23,0,18.0,64.0,0,0,30,93,.272,0.317,0.441,0.758,106,.327,103,201,jimenel02
318,Martín Maldonado,0.3,116,407.0,362.0,33,69.0,12,0,15.0,36.0,0,0,30,139,.191,0.258,0.348,0.606,66,.265,60,126,maldoma01
319,Jo Adell,0.3,17,62.0,58.0,7,12.0,3,1,3.0,6.0,1,0,4,25,.207,0.258,0.448,0.706,88,.298,79,26,adelljo01
320,Forrest Wall*,0.3,15,15.0,13.0,6,6.0,2,0,1.0,2.0,5,1,2,4,.462,0.533,0.846,1.379,267,.602,264,11,wallfo01
321,Corey Julks,0.3,93,323.0,298.0,35,73.0,14,0,6.0,33.0,15,3,22,75,.245,0.297,0.352,0.65,79,.296,79,105,julksco01
322,Tyler O'Neill,0.3,72,266.0,238.0,27,55.0,14,0,9.0,21.0,5,0,28,67,.231,0.312,0.403,0.715,93,.319,94,96,oneilty01
323,David Fry,0.3,57,113.0,101.0,12,24.0,6,0,4.0,15.0,2,0,8,30,.238,0.319,0.416,0.734,101,.332,109,42,fryda01
324,Jonny DeLuca,0.3,24,45.0,42.0,5,11.0,1,0,2.0,6.0,1,0,3,8,.262,0.311,0.429,0.74,99,.318,89,18,delucjo01
325,Nick Allen,0.3,106,329.0,303.0,29,67.0,4,2,4.0,20.0,5,1,17,52,.221,0.263,0.287,0.55,56,.248,56,87,allenni02
326,Abraham Toro#,0.3,9,21.0,18.0,4,8.0,0,0,2.0,9.0,0,0,2,5,.444,0.524,0.778,1.302,250,.546,259,14,toroab01
327,Emmanuel Rivera,0.3,86,283.0,257.0,32,67.0,13,0,4.0,29.0,1,0,22,56,.261,0.314,0.358,0.672,83,.300,82,92,riverem01
328,Sam Huff,0.3,21,45.0,43.0,5,11.0,2,0,3.0,6.0,0,0,2,17,.256,0.289,0.512,0.801,115,.335,108,22,huffsa01
329,Dalton Guthrie,0.3,23,28.0,24.0,4,4.0,1,0,0.0,0.0,0,0,3,7,.167,0.286,0.208,0.494,39,.241,42,5,guthrda01
330,Hanser Alberto,0.3,30,90.0,82.0,11,18.0,5,0,3.0,16.0,0,0,4,13,.220,0.261,0.39,0.652,76,.289,75,32,alberha01
331,Spencer Horwitz*,0.3,15,44.0,39.0,5,10.0,2,0,1.0,7.0,0,0,4,12,.256,0.341,0.385,0.726,101,.323,103,15,horwisp01
332,Patrick Wisdom,0.3,97,302.0,268.0,43,55.0,8,1,23.0,46.0,4,2,30,111,.205,0.289,0.5,0.789,112,.334,104,134,wisdopa01
333,Michael Pérez*,0.3,3,8.0,8.0,1,4.0,1,0,0.0,0.0,0,0,0,1,.500,0.5,0.625,1.125,210,.479,213,5,perezmi03
334,Endy Rodríguez#,0.2,57,204.0,186.0,27,41.0,7,2,3.0,13.0,0,0,17,49,.220,0.284,0.328,0.612,66,.276,65,61,rodrien01
335,Sam Haggerty#,0.2,52,108.0,91.0,13,23.0,3,1,1.0,5.0,10,1,15,17,.253,0.364,0.341,0.705,104,.335,105,31,haggesa01
336,Nick Martini*,0.2,29,79.0,72.0,10,19.0,3,1,6.0,16.0,0,0,5,15,.264,0.329,0.583,0.912,137,.382,137,42,martini02
337,Andrew Benintendi*,0.2,151,621.0,562.0,72,147.0,34,2,5.0,45.0,13,2,52,89,.262,0.326,0.356,0.682,88,.306,85,200,beninan01
338,Jonathan Aranda*,0.2,34,103.0,87.0,13,20.0,4,1,2.0,13.0,0,0,13,31,.230,0.34,0.368,0.708,97,.309,95,32,arandjo01
339,Miguel Amaya,0.2,53,156.0,131.0,17,28.0,4,0,5.0,18.0,0,0,12,40,.214,0.329,0.359,0.688,90,.310,86,47,amayami01
340,Jasson Domínguez#,0.2,8,33.0,31.0,6,8.0,1,0,4.0,7.0,1,0,2,8,.258,0.303,0.677,0.98,158,.409,157,21,dominja01
341,Sam Hilliard*,0.2,40,78.0,72.0,15,17.0,5,0,3.0,6.0,4,0,6,33,.236,0.295,0.431,0.725,94,.324,87,31,hillisa01
342,Weston Wilson,0.2,8,22.0,16.0,5,5.0,0,0,1.0,2.0,3,1,6,5,.313,0.5,0.5,1.0,176,.445,182,8,wilsowe01
